,id_plataform,type,title,release_year,rating,duration,score
15317,n,movie,my fair lady,1964,G,173 min,11
15318,n,tv show,prank encounters,2021,TV-MA,2 Seasons,41
15319,n,movie,s.w.a.t.: under siege,2017,R,89 min,55
15320,n,tv show,secrets of great british castles,2016,TV-PG,2 Seasons,30
15321,n,movie,seven souls in the skull castle: season bird,2017,TV-14,182 min,13
15322,n,movie,seven souls in the skull castle: season flower,2017,TV-14,181 min,88
15323,n,movie,seven souls in the skull castle: season wind,2017,TV-14,185 min,64
15324,n,movie,sniper: ghost shooter,2016,R,99 min,35
15325,n,movie,starship troopers: traitor of mars,2017,R,88 min,91
15326,n,movie,takers,2010,PG-13,107 min,46
15327,n,movie,tersanjung the movie,2021,TV-14,114 min,49
15328,n,movie,the knight and the princess,2019,TV-PG,96 min,34
15329,n,movie,the pianist,2002,R,149 min,81
15330,n,movie,the stepfather,2009,PG-13,102 min,4
15331,n,movie,universal soldier: the return,1999,R,83 min,62
15332,n,movie,wazir,2016,TV-14,98 min,53
15333,n,movie,white boy,2017,TV-MA,83 min,37
15334,n,tv show,worn stories,2021,TV-MA,1 Season,58
15335,n,movie,yes man,2008,PG-13,104 min,94
15336,n,movie,at eternity's gate,2018,PG-13,111 min,13
15337,n,tv show,haunted: latin america,2021,TV-14,1 Season,98
15338,n,movie,not a game,2020,TV-MA,98 min,38
15339,n,tv show,robocar poli,2015,TV-Y,2 Seasons,65
15340,n,tv show,yu-gi-oh!,2005,TV-Y7,1 Season,95
15341,n,movie,7 yards: the chris norton story,2021,TV-PG,93 min,82
15342,n,movie,octonauts & the ring of fire,2021,TV-Y,73 min,33
15343,n,tv show,rainbow high,2020,TV-Y,1 Season,29
15344,n,movie,mandela: long walk to freedom,2013,PG-13,141 min,61
15345,n,movie,lawless,2012,R,116 min,21
15346,n,movie,marked,2021,TV-PG,21 min,77
15347,n,movie,a week away,2021,TV-PG,98 min,50
15348,n,movie,bad trip,2021,TV-MA,87 min,32
15349,n,tv show,big time rush,2013,TV-G,4 Seasons,87
15350,n,movie,black is beltza,2018,TV-MA,87 min,42
15351,n,movie,croupier,1998,TV-MA,95 min,33
15352,n,movie,elizabeth and margaret: love and loyalty,2020,TV-PG,87 min,25
15353,n,movie,keeping the bees,2020,TV-14,93 min,22
15354,n,tv show,magic for humans spain,2021,TV-MA,1 Season,37
15355,n,movie,ni de coña,2020,TV-MA,97 min,67
15356,n,movie,pagglait,2021,TV-PG,114 min,5
15357,n,tv show,the irregulars,2021,TV-14,1 Season,56
15358,n,movie,caught by a wave,2021,TV-14,100 min,41
15359,n,tv show,dota: dragon's blood,2021,TV-MA,1 Season,57
15360,n,tv show,pui pui molcar,2021,TV-Y7,1 Season,98
15361,n,movie,secret magic control agency,2021,TV-Y7,105 min,21
15362,n,movie,seaspiracy,2021,TV-14,90 min,17
15363,n,movie,loyiso gola: unlearning,2021,TV-MA,60 min,24
15364,n,tv show,men on a mission,2021,TV-14,6 Seasons,67
15365,n,tv show,navillera,2021,TV-14,1 Season,17
15366,n,movie,philomena,2013,PG-13,98 min,91
15367,n,movie,any crybabies around?,2020,TV-MA,108 min,79
